BGP_ID,Lat,Long,Johanna Pop_ID,State,CityTown,Climate,Urban,Sex,Month,Day,Record_no,Inversion_geno,inv_k3,Band_no,color,Population,sample #,raw data,coverage,Q20(%),Q30(%),GC(%),Final DNA Quant,F_MISS,MEAN_DEPTH,pop1,pop2,Body Feathers/Upper Calamus,
09N19286,41.69722,-87.98611,east,IL,Bolingbrook,,,F,7,17,,AB,AeB,193184008,#5aae61,eastern,Y_09N19286,2112935100,1.869854071,97.82,94.27,49.88,0.197235,0.189265,3.01658,0.0133141,0.9866859,,
09N19289,41.69722,-87.98611,east,IL,Bolingbrook,,,M,7,17,,AB,AeB,193184009,#5aae61,eastern,Y_09N19289,3147839400,2.785698584,97.93,94.49,47.22,0.261155,0.0932948,4.13488,0.0073784,0.9926217,,
10N17350,33.15167,-96.6,contact,TX,Fairview,,,M,5,14,,BB,BB,234106118,#5aae61,eastern,Y_10N17350,1199163600,1.061206726,97.57,93.84,47.24,0.10396,0.497699,1.28432,0.0001004,0.9998996,,
12N0416,38.96639,-85.45833,east,IN,San Jacinto,,,F,5,23,,BB,BB,199184666,#5aae61,eastern,Y_12N0416,2233653000,1.976684071,97.65,93.92,47.24,0.393445,0.153438,3.25375,0.0001013,0.9998987,,
12N0594,37.79472,-119.8639,coastal_N,CA,El Portal,,,F,7,16,,AA,AwAw,17918436,#004488,western,Y_12N0594,1159909800,1.02646885,97.82,94.26,50.62,0.139135,0.377344,1.54598,0.9977405,0.0022595,,
12N2931,46.93361,-111.915,front_range_N,MT,Holter Dam,,,F,5,31,,AA,AwAw,196131581,#004488,western,Y_12N2931,4840044600,4.28322531,98.11,94.77,43.09,0.380725,0.0391685,5.98468,0.9767845,0.0232155,,
12N2932,46.93361,-111.915,front_range_N,MT,Holter Dam,,,NA,5,31,,AA,AwAw,122144773,#004488,western,Y_12N2932,2003178300,1.772724159,97.73,94.15,48.19,0.16902,0.234667,2.78448,0.9814169,0.0185831,,
13N1237,34.04861,-118.8122,S_coastal,CA,Malibu,,,M,5,25,,AA,AwAw,181136541,#004488,western,Y_13N1237,1165868100,1.031741681,97.02,92.84,50.36,0.115395,0.438847,1.47767,0.9930751,0.0069249,,
15N1177,35.83611,-106.2553,front_range_S,NM,Los Alamos,,,F,8,12,,AA,AwAw,258136583,#004488,western,Y_15N1177,7139438400,6.31808708,98.32,95.14,41.64,1.615375,0.00931227,8.29936,0.9932095,0.0067905,,
15N4068,42.70901,-103.0233,front_range_N,NE,Chadron,,,F,8,23,,AA,AwAw,274112002,#004488,western,Y_15N4068,4631227200,4.09843115,98.21,94.87,43.46,1.537255,0.0280324,6.39588,0.9694108,0.0305892,,
16N006267,34.27465,-119.229,S_coastal,CA,Santa Paula,,,M,6,15,,AA,AwAw,220136893,#004488,western,Y_16N006267,4286450400,3.793318938,98.21,95.02,42.49,0.423815,0.0735521,4.91398,0.9998987,0.0001012,,
19N01576,34.49596,-89.28144,east,MS,Bethlehem,,,F,5,26,,BB,BB,243139720,#5aae61,eastern,Y_19N01576,2327377800,2.059626372,97.46,93.66,49.8,0.133805,0.242145,2.91699,0.0001015,0.9998985,,
19N01577,34.49596,-89.28144,east,MS,Bethlehem,,,M,6,30,,BB,BB,243139724,#5aae61,eastern,Y_19N01577,1580686200,1.398837345,97.89,94.41,43.3,0.425085,0.364381,1.76834,0.0055106,0.9944894,,
